time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 11:06:00,22.31,22.262,19.836,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:07:00,22.313,22.29,19.837,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:08:00,22.34,22.318,19.837,强上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:09:00,22.387,22.356,19.84,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:10:00,22.42,22.388,19.842,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:11:00,22.423,22.386,19.844,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:12:00,22.353,22.38,19.846,震荡,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:13:00,22.3,22.364,19.847,下降,长下影(承接),平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:14:00,22.293,22.33,19.848,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:15:00,22.293,22.304,19.848,下降,正常,缩量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
